Tokens y Errores para algoritmos/fibonacci.php:

LexToken(PHP_OPEN,'<?php',1,0)
LexToken(FUNCTION,'function',2,6)
LexToken(NAMEFUNCTION,'fibonacci',2,15)
LexToken(LPAREN,'(',2,24)
LexToken(VARIABLE,'$n',2,25)
LexToken(RPAREN,')',2,27)
LexToken(LBRACE,'{',2,29)
LexToken(IF,'if',3,35)
LexToken(LPAREN,'(',3,38)
LexToken(VARIABLE,'$n',3,39)
LexToken(LT,'<',3,42)
LexToken(NUMBER,0,3,44)
LexToken(RPAREN,')',3,45)
LexToken(LBRACE,'{',3,47)
LexToken(RETURN,'return',4,57)
LexToken(STRING,'El número debe ser mayor o igual a 0',4,64)
LexToken(SEMICOL,';',4,103)
LexToken(RBRACE,'}',5,109)
LexToken(ELSEIF,'elseif',5,111)
LexToken(LPAREN,'(',5,118)
LexToken(VARIABLE,'$n',5,119)
LexToken(EQ,'==',5,122)
LexToken(NUMBER,0,5,125)
LexToken(RPAREN,')',5,126)
LexToken(LBRACE,'{',5,128)
LexToken(RETURN,'return',6,138)
LexToken(NUMBER,0,6,145)
LexToken(SEMICOL,';',6,146)
LexToken(RBRACE,'}',7,152)
LexToken(ELSEIF,'elseif',7,154)
LexToken(LPAREN,'(',7,161)
LexToken(VARIABLE,'$n',7,162)
LexToken(EQ,'==',7,165)
LexToken(NUMBER,1,7,168)
LexToken(RPAREN,')',7,169)
LexToken(LBRACE,'{',7,171)
LexToken(RETURN,'return',8,181)
LexToken(NUMBER,1,8,188)
LexToken(SEMICOL,';',8,189)
LexToken(RBRACE,'}',9,195)
LexToken(ELSE,'else',9,197)
LexToken(LBRACE,'{',9,202)
LexToken(VARIABLE,'$a',10,212)
LexToken(ASSIGN,'=',10,215)
LexToken(NUMBER,0,10,217)
LexToken(SEMICOL,';',10,218)
LexToken(VARIABLE,'$b',11,228)
LexToken(ASSIGN,'=',11,231)
LexToken(NUMBER,1,11,233)
LexToken(SEMICOL,';',11,234)
LexToken(FOR,'for',12,244)
LexToken(LPAREN,'(',12,248)
LexToken(VARIABLE,'$i',12,249)
LexToken(ASSIGN,'=',12,252)
LexToken(NUMBER,2,12,254)
LexToken(SEMICOL,';',12,255)
LexToken(VARIABLE,'$i',12,257)
LexToken(LE,'<=',12,260)
LexToken(VARIABLE,'$n',12,263)
LexToken(SEMICOL,';',12,265)
LexToken(VARIABLE,'$i',12,267)
LexToken(INCREMENT,'++',12,269)
LexToken(RPAREN,')',12,271)
LexToken(LBRACE,'{',12,273)
LexToken(VARIABLE,'$temp',13,287)
LexToken(ASSIGN,'=',13,293)
LexToken(VARIABLE,'$a',13,295)
LexToken(PLUS,'+',13,298)
LexToken(VARIABLE,'$b',13,300)
LexToken(SEMICOL,';',13,302)
LexToken(VARIABLE,'$a',14,316)
LexToken(ASSIGN,'=',14,319)
LexToken(VARIABLE,'$b',14,321)
LexToken(SEMICOL,';',14,323)
LexToken(VARIABLE,'$b',15,337)
LexToken(ASSIGN,'=',15,340)
LexToken(VARIABLE,'$temp',15,342)
LexToken(SEMICOL,';',15,347)
LexToken(RBRACE,'}',16,357)
LexToken(RETURN,'return',17,367)
LexToken(VARIABLE,'$b',17,374)
LexToken(SEMICOL,';',17,376)
LexToken(RBRACE,'}',18,382)
LexToken(RBRACE,'}',19,384)
LexToken(VARIABLE,'$position',22,399)
LexToken(ASSIGN,'=',22,409)
LexToken(NUMBER,4,22,411)
LexToken(SEMICOL,';',22,412)
LexToken(ECHO,'echo',23,415)
LexToken(STRING,'El número Fibonacci en la posición $position es: ',23,420)
LexToken(DOT,'.',23,474)
LexToken(NAMEFUNCTION,'fibonacci',23,476)
LexToken(LPAREN,'(',23,485)
LexToken(VARIABLE,'$position',23,486)
LexToken(RPAREN,')',23,495)
LexToken(SEMICOL,';',23,496)
LexToken(PHP_CLOSE,'?>',24,498)

Comentarios:
Comentario en la l�nea 21: // Ejemplo 
